Transaction ID / Call ID,Start time,End time,Source,Not recorded,"Recorded in error, CDR found","Recorded in error, CDR not found","Recorded in error, Partial call","Recorded, CDR not found",Not archived,Not transcribed,Sensitive data not masked,Screen not recorded,Fair quality,Poor quality,Selective recording,Recorder not configured,Overall severity,ANI (calling party),DNIS (called party),Recorded Extension,Redirect extension,Duration,Data source,Organization,Conference call,Transfer call,Calling Party Device ID,Called Party Device ID
2024010823515378908064781870878701,08/01/2024 23:51:53 +00:00,08/01/2024 23:52:23 +00:00,Recorder,,,True,,,,,,,,,,,2,+353894522990,+18022940681,user001@verintnew01.prodreleasev2.com,,30,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010823495797008064781770878701,08/01/2024 23:49:57 +00:00,08/01/2024 23:50:35 +00:00,Recorder,,,True,,,,,,,,,,,2,user001@verintnew01.prodreleasev2.com,+353894522990,user001@verintnew01.prodreleasev2.com,,38,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010819522883908064781470878701,08/01/2024 19:52:28 +00:00,08/01/2024 19:53:11 +00:00,Recorder,,,True,,,,,,,,,,,2,+353894522990,+18022940681,user002@verintnew01.prodreleasev2.com,,43,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010420353327508046530070881401,04/01/2024 20:35:33 +00:00,04/01/2024 20:35:42 +00:00,Recorder,,,True,,,,,,,,,,,2,user007@verintnew01.prodreleasev2.com,+35391733561,user007@verintnew01.prodreleasev2.com,,9,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010420351093208046529970881401,04/01/2024 20:35:10 +00:00,04/01/2024 20:35:18 +00:00,Recorder,,,True,,,,,,,,,,,2,user007@verintnew01.prodreleasev2.com,+35391733561,user007@verintnew01.prodreleasev2.com,,7,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010420342810708046529770881401,04/01/2024 20:34:28 +00:00,04/01/2024 20:34:40 +00:00,Recorder,,,True,,,,,,,,,,,2,user007@verintnew01.prodreleasev2.com,+35391733561,user007@verintnew01.prodreleasev2.com,,12,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010415551161002115455570878701,04/01/2024 15:55:11 +00:00,04/01/2024 15:55:30 +00:00,Recorder,,,True,,,,,,,,,,,2,+3612388224,+18022940681,cristear@verintnew01.prodreleasev2.com,,19,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010415405046602115455370878701,04/01/2024 15:40:50 +00:00,04/01/2024 15:41:20 +00:00,Recorder,,,True,,,,,,,,,,,2,+3612388224,+18022940681,cristear@verintnew01.prodreleasev2.com,,30,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010415311084802115455270878701,04/01/2024 15:31:10 +00:00,04/01/2024 15:31:51 +00:00,Recorder,,,True,,,,,,,,,,,2,+3612388224,+18022940681,cristear@verintnew01.prodreleasev2.com,,41,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
2024010415093190202115455170878701,04/01/2024 15:09:31 +00:00,04/01/2024 15:11:14 +00:00,Recorder,,,True,,,,,,,,,,,2,+3612388224,+18022940681,cristear@verintnew01.prodreleasev2.com,,102,Verintnew01_PhoneDS_IKHHJK,Verintnew01_IKHHJK (708000501),,,,
