AUDIO_START_TIME,source_db,duration,contact_duration,session_total_hold_time,type,eval_count,ifind_rank,sid,site_id,audio_ch_num,audio_module_num,audio_start_time_gmt,transaction_id,ani,audio_end_time,audio_start_time1,call_id,contact_duration_seconds,direction,dnis,duration_seconds,evaluated_by_me,exception_reason,extension,string_extension,is_exception,local_audio_end_time,local_audio_start_time,number_of_conferences,number_of_holds,number_of_transfers,num_of_cxm_evals,num_of_ccq_evals,session_number_of_holds,session_total_hold_time_in_seconds,pbx_login_id,personal_id,personal_name,personal_tag,prod_time,producer_name,remark,screens_exists,screens_module,switch_call_id,switch_id,switch_name,total_hold_time,total_hold_time_in_seconds,wrapup_time_in_seconds,wrapup_time,interaction_type_id,interaction_type,media_type_bit_mask,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,cd9,cd10,cd11,cd12,cd13,cd14,cd15,cd16,cd17,cd18,cd19,cd20,cd21,cd22,cd23,cd24,cd25,cd26,cd27,cd28,cd29,cd30,cd31,cd32,cd33,cd34,cd35,cd36,cd37,cd38,cd39,cd40,cd41,cd42,cd43,cd44,cd45,cd46,cd47,cd48,cd49,cd50,cd51,cd52,cd53,cd54,cd55,cd56,cd57,cd58,cd59,cd60,cd61,cd62,cd63,cd64,cd65,cd66,cd67,cd68,cd69,cd70,cd71,cd72,cd73,cd74,cd75,pcd1_value,pcd1,pcd2_value,pcd2,pcd3_value,pcd3,pcd4_value,pcd4,pcd5_value,pcd5,pcd6_value,pcd6,pcd7_value,pcd7,pcd8_value,pcd8,pcd9_value,pcd9,pcd10_value,pcd10,pcd11_value,pcd11,pcd12_value,pcd12,pcd13_value,pcd13,pcd14_value,pcd14,pcd15_value,pcd15,ifind_categories,has_emotion
2024-04-17T16:56:03.77,CentralContact,00:02:00,00:03:01,00:00:00,1,0,0,7524133,708,70472607,708027,2024-04-17T14:56:03.77,2024041714560377007047260770881401,+35391733561,2024-04-17T16:58:03.77,2024-04-17T16:56:03.77,9151422010300008141,181,1,+18022940681,120,0,1,2147483647,user007@verintnew01.prodreleasev2.com,0,2024-04-17T15:58:03.77,2024-04-17T15:56:03.77,0,0,1,0,0,0,0,,708001007,"user007, user007",0,,,,0,0,1ee9ae3d-88a5-49ef-841f-e80ac8656d8e,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,1ee9ae3d-88a5-49ef-841f-e80ac8656d8e,,,,,,,,,,,,,,,,,,,,,07626579061713365683,user007@verintnew01.prodreleasev2.com,user007@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-17T16:55:03.06,CentralContact,00:02:00,00:03:01,00:00:00,1,0,0,7524132,708,70472606,708027,2024-04-17T14:55:03.06,2024041714550306107047260670881401,+35391733561,2024-04-17T16:57:03.06,2024-04-17T16:55:03.06,9151422010300008141,181,1,+18022940681,120,0,1,2147483647,user001@verintnew01.prodreleasev2.com,0,2024-04-17T15:57:03.06,2024-04-17T15:55:03.06,0,0,1,0,0,0,0,,708001001,"user001, user001",0,,,,0,0,1ee9ae3d-88a5-49ef-841f-e80ac8656d8e,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,1ee9ae3d-88a5-49ef-841f-e80ac8656d8e,,,,,,,,,,,,,,,,,,,,,a4d029db-f307-4053-8a51-898050fc4287-dXMtY2VudHJhbDE,user001@verintnew01.prodreleasev2.com,user001@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-17T15:46:13.553,CentralContact,00:01:38,00:02:44,00:00:00,1,0,0,7524129,708,70472605,708027,2024-04-17T13:46:13.553,2024041713461355207047260570881401,+35391733561,2024-04-17T15:47:51.553,2024-04-17T15:46:13.553,9151421590770008141,164,1,+18022940681,98,0,1,2147483647,user007@verintnew01.prodreleasev2.com,0,2024-04-17T14:47:51.553,2024-04-17T14:46:13.553,0,0,1,0,0,0,0,,708001007,"user007, user007",0,,,,0,0,fe2534ee-6efd-442d-a5db-9c353dfc9667,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,fe2534ee-6efd-442d-a5db-9c353dfc9667,,,,,,,,,,,,,,,,,,,,,09989067131713361477,user007@verintnew01.prodreleasev2.com,user007@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-17T15:45:07.727,CentralContact,00:01:45,00:02:44,00:00:00,1,0,0,7524128,708,70472604,708027,2024-04-17T13:45:07.727,2024041713450772607047260470881401,+35391733561,2024-04-17T15:46:52.727,2024-04-17T15:45:07.727,9151421590770008141,164,1,+18022940681,105,0,1,2147483647,user001@verintnew01.prodreleasev2.com,0,2024-04-17T14:46:52.727,2024-04-17T14:45:07.727,0,0,1,0,0,0,0,,708001001,"user001, user001",0,,,,0,0,fe2534ee-6efd-442d-a5db-9c353dfc9667,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,fe2534ee-6efd-442d-a5db-9c353dfc9667,,,,,,,,,,,,,,,,,,,,,a97f5c14-0979-4a76-8415-3d86edb2a14f-dXMtY2VudHJhbDE,user001@verintnew01.prodreleasev2.com,user001@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-12T12:07:21.913,CentralContact,00:03:25,00:03:25,00:00:00,1,0,0,7524056,708,70472603,708027,2024-04-12T10:07:21.913,2024041210072191207047260370881401,+33241835140,2024-04-12T12:10:46.913,2024-04-12T12:07:21.913,9151377084190008141,205,1,+18022940681,205,0,1,2147483647,fredagent@verintnew01.prodreleasev2.com,0,2024-04-12T11:10:46.913,2024-04-12T11:07:21.913,0,0,0,0,0,0,0,,708007651,"agent, fred",0,,,,0,0,ef9e32a5-8b4e-4880-be14-365c3ea6652e,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,ef9e32a5-8b4e-4880-be14-365c3ea6652e,,,,,,,,,,,,,,,,,,,,,07626064051712916402,fredagent@verintnew01.prodreleasev2.com,fredagent@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-04-12T10:15:06.757,CentralContact,00:00:09,00:00:08,00:00:00,1,0,0,7524055,708,70472602,708028,2024-04-12T08:15:06.757,2024041208150675607047260270881401,+35391733561,2024-04-12T10:15:15.757,2024-04-12T10:15:06.757,9151376410670008141,8,1,+18022940681,9,0,1,2147483647,user007@verintnew01.prodreleasev2.com,0,2024-04-12T09:15:15.757,2024-04-12T09:15:06.757,0,0,0,0,0,0,0,,708001007,"user007, user007",0,,,,0,0,7dd37696-2b96-4679-8347-c94c533acb9a,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,7dd37696-2b96-4679-8347-c94c533acb9a,,,,,,,,,,,,,,,,,,,,,07626062241712909678,user007@verintnew01.prodreleasev2.com,user007@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-29T12:40:58.897,CentralContact,00:00:40,00:00:39,00:00:00,1,0,0,7523793,708,16870143,708028,2024-03-29T11:40:58.897,2024032911405889501687014370881401,+353894522990,2024-03-29T12:41:38.897,2024-03-29T12:40:58.897,9151256685880008141,39,1,+18022940681,40,0,1,2147483647,user004@verintnew01.prodreleasev2.com,0,2024-03-29T11:41:38.897,2024-03-29T11:40:58.897,0,0,1,0,0,0,0,,708001004,"user004, user004",0,,,,0,0,fd053318-5617-40c1-aea9-b418937aaa33,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,fd053318-5617-40c1-aea9-b418937aaa33,,,,,,,,,,,,,,,,,,,,,32606082641711712431,user004@verintnew01.prodreleasev2.com,user004@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-29T12:33:05.55,CentralContact,00:00:45,00:00:44,00:00:00,1,0,0,7523792,708,16870141,708028,2024-03-29T11:33:05.55,2024032911330555001687014170881401,+353894522990,2024-03-29T12:33:50.55,2024-03-29T12:33:05.55,9151256638550008141,44,1,+18022940681,45,0,1,2147483647,user002@verintnew01.prodreleasev2.com,0,2024-03-29T11:33:50.55,2024-03-29T11:33:05.55,0,0,1,0,0,0,0,,708001002,"user002, user002",0,,,,0,0,c8c0a859-af4d-4312-a71b-31b9829e78e7,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,c8c0a859-af4d-4312-a71b-31b9829e78e7,,,,,,,,,,,,,,,,,,,,,32606082591711711957,user002@verintnew01.prodreleasev2.com,user002@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-25T14:52:03.163,CentralContact,00:00:26,00:00:26,00:00:00,1,0,0,7523493,708,16870130,708027,2024-03-25T13:52:03.163,2024032513520315201687013070881401,+353894522990,2024-03-25T14:52:29.163,2024-03-25T14:52:03.163,9151222912310008141,26,1,+18022940681,26,0,1,2147483647,user002@verintnew01.prodreleasev2.com,0,2024-03-25T13:52:29.163,2024-03-25T13:52:03.163,0,0,0,0,0,0,0,,708001002,"user002, user002",0,,,,0,0,d6aac2e1-e93b-48b1-a129-91e3fedf28f9,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,d6aac2e1-e93b-48b1-a129-91e3fedf28f9,,,,,,,,,,,,,,,,,,,,,25458601981711374695,user002@verintnew01.prodreleasev2.com,user002@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-03-13T17:44:30.977,CentralContact,00:05:28,00:05:28,00:00:00,1,0,0,7491617,708,83778456,708028,2024-03-13T16:44:30.977,2024031316443097708377845670878701,+35391733561,2024-03-13T17:49:58.977,2024-03-13T17:44:30.977,9151120267090007871,328,1,+18022940681,328,0,1,2147483647,user007@verintnew01.prodreleasev2.com,0,2024-03-13T16:49:58.977,2024-03-13T16:44:30.977,0,0,0,0,0,0,0,,708001007,"user007, user007",0,,,,0,0,91b825f5-be26-4e00-811d-3e997ba831ec,708000502,Verintnew01_PhoneDS_IKHHJK,00:00:00,0,0,00:00:00,1,Phone,1,,,,,,,,91b825f5-be26-4e00-811d-3e997ba831ec,,,,,,,,,,,,,,,,,,,,,03190073731710348234,user007@verintnew01.prodreleasev2.com,user007@verintnew01.prodreleasev2.com,,,,,,,,,,,,,,Department.Accounts,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
